number of labels,1331
label,Area of label (units^2)
0,169107
1,1
2,1
3,1
4,1
5,239570
6,9
7,7
8,1
9,11
10,1
11,1
12,1
13,1
14,10
15,2
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,5
26,1
27,1
28,3
29,1
30,1
31,1
32,2
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,5
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,9
51,1
52,1
53,32
54,1
55,4
56,1
57,2
58,2
59,1
60,1
61,1
62,7
63,1
64,19
65,3
66,1
67,2
68,1
69,1
70,10
71,1
72,1
73,2
74,2
75,1
76,2
77,2
78,3
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,2
87,1
88,2
89,46
90,1
91,1
92,1
93,1
94,1
95,20
96,1
97,1
98,2
99,1
100,4
101,1
102,1
103,4
104,5
105,1
106,1
107,7
108,1
109,7
110,1
111,1
112,2
113,1
114,2
115,1
116,3
117,2
118,17
119,1
120,1
121,1
122,1
123,1
124,6
125,1
126,7
127,1
128,1
129,1
130,1
131,2
132,1
133,41
134,1
135,2
136,1
137,1
138,2
139,1
140,2
141,3
142,1
143,4
144,1
145,3
146,1
147,27
148,2
149,1
150,1
151,3
152,1
153,1
154,2
155,1
156,2
157,1
158,2
159,1
160,8
161,1
162,1
163,1
164,1
165,4
166,1
167,1
168,2
169,1
170,1
171,1
172,1
173,2
174,1
175,5
176,2
177,4
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,5
188,3
189,4
190,1
191,2
192,1
193,4
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,9
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,2
219,3
220,1
221,1
222,1
223,2
224,3
225,1
226,1
227,1
228,2
229,2
230,1
231,1
232,1
233,1
234,7
235,5
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,2
251,1
252,1
253,23
254,8
255,1
256,1
257,1
258,2
259,4
260,1
261,2
262,2
263,1
264,1
265,2
266,10
267,1
268,2
269,3
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,3
281,1
282,7
283,2
284,15
285,2
286,3
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,2
296,1
297,3
298,1
299,3
300,1
301,1
302,1
303,1
304,8
305,1
306,1
307,1
308,1
309,6
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,2
319,1
320,27
321,1
322,1
323,1
324,1
325,2
326,12
327,2
328,1
329,1
330,1
331,64
332,1
333,1
334,7
335,6
336,1
337,2
338,1
339,1
340,1
341,2
342,1
343,1
344,6
345,1
346,1
347,2
348,1
349,17
350,1
351,2
352,3
353,1
354,1
355,1
356,2
357,1
358,2
359,1
360,2
361,5
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,3
370,1
371,1
372,1
373,1
374,1
375,2
376,16
377,3
378,1
379,3
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,2
392,1
393,1
394,9
395,1
396,1
397,1
398,2
399,168
400,18
401,1
402,1
403,1
404,7
405,1
406,1
407,2
408,2
409,2
410,2
411,2
412,2
413,1
414,1
415,2
416,1
417,1
418,1
419,1
420,3
421,2
422,2
423,1
424,1
425,1
426,23
427,1
428,7
429,1
430,1
431,7
432,1
433,2
434,1
435,1
436,7
437,4
438,1
439,1
440,1
441,3
442,1
443,1
444,2
445,2
446,1
447,6
448,1
449,1
450,3
451,2
452,3
453,3
454,2
455,1
456,6
457,2
458,5
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,2
468,1
469,2
470,1
471,26
472,3
473,2
474,1
475,5
476,8
477,1
478,1
479,2
480,5
481,3
482,12
483,1
484,3
485,1
486,2
487,2
488,2
489,1
490,1
491,3
492,1
493,1
494,1
495,3
496,1
497,1
498,2
499,1
500,3
501,4
502,1
503,1
504,1
505,1
506,3
507,2
508,2
509,2
510,1
511,1
512,2
513,8
514,3
515,2
516,1
517,1
518,3
519,3
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,17
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,10
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,2
547,1
548,7
549,1
550,1
